Asker Id	Answerer Id	Post_link
11990789	6560549	https://stackoverflow.com/questions/58770063/how-to-make-mixed-statistical-subplots-using-plotly-in-python
9458508	12345551	https://stackoverflow.com/questions/58775283/how-to-create-a-custom-generator-class-in-python
12298417	7976758	https://stackoverflow.com/questions/58775377/prompting-user-to-search-for-something-from-database-using-python-flask-sqlalc
1871188	2288252	https://stackoverflow.com/questions/58775405/cant-i-do-an-if-statement-asking-if-a-variable-is-greater-than-one-number-and-l
1871188	9530	https://stackoverflow.com/questions/58775405/cant-i-do-an-if-statement-asking-if-a-variable-is-greater-than-one-number-and-l
1871188	296974	https://stackoverflow.com/questions/58775405/cant-i-do-an-if-statement-asking-if-a-variable-is-greater-than-one-number-and-l
10981932	6243352	https://stackoverflow.com/questions/58614817/how-can-i-add-paths-to-the-pythonpath-or-path-variables-when-a-script-within-m
10981932	12332712	https://stackoverflow.com/questions/58614817/how-can-i-add-paths-to-the-pythonpath-or-path-variables-when-a-script-within-m
9879394	6553328	https://stackoverflow.com/questions/58775364/how-can-i-format-the-final-message-to-have-the-final-grade
12337744	10189214	https://stackoverflow.com/questions/58751045/is-there-any-way-that-classs-destructor-isnt-called-when-process-is-finished-i
12337744	8719334	https://stackoverflow.com/questions/58751045/is-there-any-way-that-classs-destructor-isnt-called-when-process-is-finished-i
12337744	1838257	https://stackoverflow.com/questions/58751045/is-there-any-way-that-classs-destructor-isnt-called-when-process-is-finished-i
10168510	12345346	https://stackoverflow.com/questions/58775396/need-to-get-black-hole-working-has-to-collide-with-ball
10168510	11796003	https://stackoverflow.com/questions/58775396/need-to-get-black-hole-working-has-to-collide-with-ball
2291710	8430733	https://stackoverflow.com/questions/58774719/how-to-import-types-defined-in-a-python-stub-file
12322855	9477338	https://stackoverflow.com/questions/58774862/python-doesnt-find-module
4936236	1405065	https://stackoverflow.com/questions/58775378/difference-in-size-of-a-file-and-its-contents
3346095	1713868	https://stackoverflow.com/questions/58755948/what-is-the-difference-between-typevar-and-newtype
3080600	11891566	https://stackoverflow.com/questions/58774833/python-check-using-utc-timestamp-if-it-is-dst-in-another-timezone
11891566	858675	https://stackoverflow.com/questions/58774974/how-to-print-ascii-white-space-from-file
11891566	8430733	https://stackoverflow.com/questions/58774974/how-to-print-ascii-white-space-from-file
11891566	4602882	https://stackoverflow.com/questions/58774974/how-to-print-ascii-white-space-from-file
12098223	674039	https://stackoverflow.com/questions/58775359/merge-tables-from-different-sources
12098223	2190251	https://stackoverflow.com/questions/58775359/merge-tables-from-different-sources
12098223	908269	https://stackoverflow.com/questions/58775359/merge-tables-from-different-sources
12098223	1707152	https://stackoverflow.com/questions/58775359/merge-tables-from-different-sources
12098223	187377	https://stackoverflow.com/questions/58775359/merge-tables-from-different-sources
12344423	11547576	https://stackoverflow.com/questions/58770972/mysqldb-problem-error-thrown-mysqldb-module-not-found
12344423	3286487	https://stackoverflow.com/questions/58770972/mysqldb-problem-error-thrown-mysqldb-module-not-found
12344423	11639533	https://stackoverflow.com/questions/58770972/mysqldb-problem-error-thrown-mysqldb-module-not-found
12345850	235698	https://stackoverflow.com/questions/58775343/python-type-question-integer-in-a-list-to-seperate-index
10376393	355230	https://stackoverflow.com/questions/58775286/python-subprocess-call-and-resolve-dnsname-not-working-on-windows
12001686	11891566	https://stackoverflow.com/questions/58773283/reordering-a-list-to-meet-conditions
9619640	12345770	https://stackoverflow.com/questions/58771484/how-to-build-a-flask-app-in-aws-ami-linux-with-pyhton2
12345773	12345014	https://stackoverflow.com/questions/58775125/how-can-i-shuffle-the-contents-of-a-list-and-keep-the-first-item-in-the-same-pos
12254012	11751534	https://stackoverflow.com/questions/58771201/how-can-i-print-some-texts-with-color-on-python-comand-and-change-the-background
12170442	1718477	https://stackoverflow.com/questions/58773992/shifting-letters-left
12170442	1513933	https://stackoverflow.com/questions/58773992/shifting-letters-left
8200892	130288	https://stackoverflow.com/questions/58775274/can-python-be-used-as-a-command-line-filter-in-the-manner-of-sed-awk-and-even
12207261	11751534	https://stackoverflow.com/questions/58775254/how-to-order-stacked-bar-chart-in-descending-order
4798004	10238	https://stackoverflow.com/questions/58774284/how-to-write-unit-tests-using-mocks-that-that-test-the-endpoint
4798004	906693	https://stackoverflow.com/questions/58774284/how-to-write-unit-tests-using-mocks-that-that-test-the-endpoint
8417524	2589128	https://stackoverflow.com/questions/58775246/get-the-closest-to-zero-values-of-a-numpy-array
8719334	11938023	https://stackoverflow.com/questions/58773957/pandas-str-split-function-is-not-working-properly
11045233	7200715	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	2047157	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	2096218	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	1156245	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	465081	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	152809	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	1832566	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	7216865	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
11045233	104349	https://stackoverflow.com/questions/58774614/puzzle-program-breaks-when-the-dimensions-of-the-puzzle-are-3x3-or-less
10760601	2965883	https://stackoverflow.com/questions/58766671/cannot-install-librosa-python-how-can-i-uninstall-llvmlite
10760601	704848	https://stackoverflow.com/questions/58766671/cannot-install-librosa-python-how-can-i-uninstall-llvmlite
8416019	12345745	https://stackoverflow.com/questions/58773813/finding-value-in-pandas-dataframe
8416019	10439676	https://stackoverflow.com/questions/58773813/finding-value-in-pandas-dataframe
11103685	3350428	https://stackoverflow.com/questions/58773248/pi-hardware-pwm-not-works-together-with-flask-integerfield-nor-stringfield
11103685	7261236	https://stackoverflow.com/questions/58773248/pi-hardware-pwm-not-works-together-with-flask-integerfield-nor-stringfield
9173690	8360965	https://stackoverflow.com/questions/58770164/combining-rgb-colours-of-pictures-into-one-picture-python-cimpl
12341559	5025009	https://stackoverflow.com/questions/58774080/convert-categorical-data-to-numerical-data-in-for-loop-in-python-pandas
12341559	9625777	https://stackoverflow.com/questions/58774080/convert-categorical-data-to-numerical-data-in-for-loop-in-python-pandas
12341559	431856	https://stackoverflow.com/questions/58774080/convert-categorical-data-to-numerical-data-in-for-loop-in-python-pandas
12341559	4637585	https://stackoverflow.com/questions/58774080/convert-categorical-data-to-numerical-data-in-for-loop-in-python-pandas
12341559	1529591	https://stackoverflow.com/questions/58774080/convert-categorical-data-to-numerical-data-in-for-loop-in-python-pandas
12341559	69707	https://stackoverflow.com/questions/58774080/convert-categorical-data-to-numerical-data-in-for-loop-in-python-pandas
12341559	396320	https://stackoverflow.com/questions/58774080/convert-categorical-data-to-numerical-data-in-for-loop-in-python-pandas
12319491	8538536	https://stackoverflow.com/questions/58744500/in-tflearn-exception-feed-dict-asks-for-variable-named-targets-but-no-such-va
11219043	11639533	https://stackoverflow.com/questions/58774957/python-3-how-does-the-else-work-in-this-loop
265683	12344790	https://stackoverflow.com/questions/58774499/detecting-a-noise-within-an-audio-stream-in-python
265683	10924830	https://stackoverflow.com/questions/58774499/detecting-a-noise-within-an-audio-stream-in-python
176841	6243352	https://stackoverflow.com/questions/58775178/filtering-outliers-within-each-category-of-categorical-data-in-pandas
674039	858675	https://stackoverflow.com/questions/21099057/control-the-pip-version-in-virtualenv
2727167	9475885	https://stackoverflow.com/questions/58775168/pandas-sum-column-with-variable-subarray-length-and-add-more-columns-to-result
9879394	12345745	https://stackoverflow.com/questions/58773841/how-can-i-format-this-output-to-have-a
9879394	7713184	https://stackoverflow.com/questions/58773841/how-can-i-format-this-output-to-have-a
9879394	332059	https://stackoverflow.com/questions/58773841/how-can-i-format-this-output-to-have-a
3193317	2874447	https://stackoverflow.com/questions/58773515/how-to-compare-strings-with-special-characters
